months,value
4.2 ,72.28 
4.3 ,72.12 
4.3 ,71.96 
4.3 ,71.21 
4.4 ,70.82 
4.4 ,70.98 
4.4 ,71.38 
4.5 ,71.41 
4.5 ,70.99 
4.5 ,70.88 
4.6 ,69.83 
4.6 ,69.48 
4.6 ,69.23 
4.7 ,69.46 
4.7 ,69.40 
4.7 ,69.65 
4.8 ,69.05 
4.8 ,68.44 
4.8 ,67.90 
4.9 ,67.30 
4.9 ,66.33 
4.9 ,66.25 
5.0 ,66.29 
5.0 ,66.45 
5.0 ,66.83 
5.1 ,67.58 
5.1 ,66.80 
5.1 ,65.80 
5.2 ,65.77 
5.2 ,65.95 
5.2 ,65.95 
5.3 ,67.71 
5.3 ,67.47 
5.3 ,67.37 
5.4 ,67.52 
5.4 ,67.42 
5.4 ,67.18 
5.5 ,67.78 
5.5 ,68.05 
5.5 ,66.99 
5.6 ,66.73 
5.6 ,66.13 
5.6 ,66.11 
5.7 ,66.02 
5.7 ,66.46 
5.7 ,65.88 
5.7 ,65.98 
5.8 ,64.92 
5.8 ,64.33 
5.8 ,64.21 
5.9 ,64.18 
5.9 ,62.90 
5.9 ,61.11 
6.0 ,60.58 
6.0 ,60.66 
6.0 ,60.85 
6.1 ,60.82 
6.1 ,60.30 
6.1 ,60.69 
6.2 ,60.41 
6.2 ,60.09 
6.2 ,60.07 
6.3 ,59.95 
6.3 ,59.91 
6.3 ,59.59 
6.4 ,58.89 
6.4 ,59.59 
6.4 ,59.39 
6.5 ,58.88 
6.5 ,58.17 
6.5 ,58.17 
6.6 ,57.99 
6.6 ,57.33 
6.6 ,58.02 
6.7 ,58.00 
6.7 ,57.29 
6.7 ,56.28 
6.8 ,56.25 
6.8 ,56.21 
6.8 ,55.54 
6.9 ,55.71 
6.9 ,56.26 
6.9 ,57.09 
7.0 ,57.01 
7.0 ,56.95 
7.0 ,56.94 
7.1 ,57.44 
7.1 ,57.32 
7.1 ,57.18 
7.2 ,57.42 
7.2 ,57.55 
7.2 ,57.56 
7.3 ,57.56 
7.3 ,57.59 
7.3 ,57.58 
7.4 ,57.73 
7.4 ,57.67 
7.4 ,58.05 
7.5 ,58.14 
7.5 ,58.25 
7.5 ,58.06 
7.6 ,57.05 
7.6 ,57.30 
7.6 ,57.85 
7.7 ,57.55 
7.7 ,57.58 
7.7 ,57.55 
7.8 ,56.63 
7.8 ,57.03 
7.8 ,56.57 
7.9 ,56.61 
7.9 ,57.15 
7.9 ,57.11 
8.0 ,57.11 
8.0 ,56.70 
8.0 ,56.52 
8.0 ,56.96 
8.1 ,57.12 
8.1 ,57.35 
8.1 ,57.38 
8.2 ,57.37 
8.2 ,57.70 
8.2 ,57.16 
8.3 ,57.29 
8.3 ,56.37 
8.3 ,56.44 
8.4 ,56.44 
8.4 ,56.26 
8.4 ,56.55 
8.5 ,57.07 
8.5 ,57.60 
8.5 ,58.17 
8.6 ,57.88 
8.6 ,57.94 
8.6 ,58.11 
8.7 ,58.21 
8.7 ,58.63 
8.7 ,60.55 
8.8 ,60.45 
8.8 ,60.03 
8.8 ,60.08 
8.9 ,60.19 
8.9 ,60.30 
8.9 ,61.07 
9.0 ,61.68 
9.0 ,61.22 
9.0 ,61.50 
9.1 ,61.54 
9.1 ,61.60 
9.1 ,62.01 
9.2 ,61.70 
9.2 ,61.57 
9.2 ,62.66 
9.3 ,62.40 
9.3 ,62.43 
9.3 ,62.39 
9.4 ,62.96 
9.4 ,62.49 
9.4 ,62.46 
9.5 ,63.42 
9.5 ,63.55 
9.5 ,63.57 
9.6 ,63.37 
9.6 ,63.49 
9.6 ,63.76 
9.7 ,62.71 
9.7 ,63.16 
9.7 ,63.11 
9.8 ,63.16 
9.8 ,63.23 
9.8 ,62.80 
9.9 ,63.78 
9.9 ,63.88 
9.9 ,64.09 
10.0 ,64.29 
10.0 ,64.49 
10.0 ,64.51 
10.1 ,65.06 
10.1 ,65.40 
10.1 ,66.71 
10.2 ,66.64 
10.2 ,66.47 
10.2 ,66.43 
10.3 ,66.14 
10.3 ,65.05 
10.3 ,65.12 
10.3 ,65.29 
10.4 ,65.67 
10.4 ,66.08 
10.4 ,66.12 
10.5 ,66.13 
10.5 ,66.20 
10.5 ,65.92 
10.6 ,67.13 
10.6 ,66.54 
10.6 ,66.90 
10.7 ,66.99 
10.7 ,66.98 
10.7 ,67.51 
10.8 ,67.49 
10.8 ,67.08 
10.8 ,67.44 
10.9 ,67.91 
10.9 ,67.89 
10.9 ,67.91 
11.0 ,67.54 
11.0 ,67.87 
11.0 ,68.20 
11.1 ,68.31 
