months,value
-78.9,1.04 
-78.9,1.04 
-78.9,1.04 
-78.8,1.04 
-78.8,1.04 
-78.8,1.04 
-78.7,1.04 
-78.7,1.04 
-78.7,1.04 
-78.6,1.04 
-78.6,1.04 
-78.6,1.04 
-78.5,1.04 
-78.5,1.04 
-78.5,1.04 
-78.4,1.04 
-78.4,1.04 
-78.4,1.04 
-78.3,1.04 
-78.3,1.04 
-78.3,1.04 
-78.2,1.04 
-78.2,1.04 
-78.2,1.04 
-78.1,1.04 
-78.1,1.04 
-78.1,1.04 
-78.0,1.04 
-78.0,1.04 
-78.0,1.04 
-77.9,1.04 
-77.9,1.04 
-77.9,1.04 
-77.8,1.04 
-77.8,1.04 
-77.8,0.99 
-77.7,0.99 
-77.7,0.99 
-77.7,0.99 
-77.6,0.99 
-77.6,0.99 
-77.6,0.99 
-77.5,0.99 
-77.5,0.99 
-77.5,0.99 
-77.4,0.99 
-77.4,0.99 
-77.4,0.99 
-77.3,0.99 
-77.3,0.99 
-77.3,1.01 
-77.2,1.01 
-77.2,1.01 
-77.2,1.01 
-77.1,1.01 
-77.1,1.01 
-77.1,1.01 
-77.0,1.01 
-77.0,1.01 
-77.0,1.01 
-76.9,1.01 
-76.9,1.01 
-76.9,1.01 
-76.8,1.01 
-76.8,1.01 
-76.8,1.02 
-76.7,1.02 
-76.7,1.02 
-76.7,1.02 
-76.6,1.02 
-76.6,1.02 
-76.6,1.02 
-76.6,1.02 
-76.5,1.02 
-76.5,1.02 
-76.5,1.02 
-76.4,1.02 
-76.4,1.02 
-76.4,1.02 
-76.3,1.02 
-76.3,1.02 
-76.3,1.02 
-76.2,1.02 
-76.2,1.02 
-76.2,1.02 
-76.1,1.02 
-76.1,1.02 
-76.1,1.02 
-76.0,1.02 
-76.0,1.02 
-76.0,1.02 
-75.9,1.02 
-75.9,1.02 
-75.9,1.02 
-75.8,1.02 
-75.8,1.02 
-75.8,1.02 
-75.7,1.02 
-75.7,1.02 
-75.7,1.02 
-75.6,1.02 
-75.6,1.03 
-75.6,1.03 
-75.5,1.03 
-75.5,1.03 
-75.5,1.03 
-75.4,1.03 
-75.4,1.03 
-75.4,1.03 
-75.3,1.03 
-75.3,1.03 
-75.3,1.03 
-75.2,1.03 
-75.2,1.03 
-75.2,1.03 
-75.1,1.03 
-75.1,1.03 
-75.1,1.03 
-75.0,1.03 
-75.0,1.03 
-75.0,1.03 
-74.9,1.03 
-74.9,1.03 
-74.9,1.03 
-74.8,1.03 
-74.8,1.03 
-74.8,1.03 
-74.7,1.03 
-74.7,1.03 
-74.7,1.03 
-74.6,1.03 
-74.6,1.03 
-74.6,1.03 
-74.5,1.03 
-74.5,1.03 
-74.5,1.03 
-74.4,1.03 
-74.4,1.03 
-74.4,1.03 
-74.3,1.03 
-74.3,1.03 
-74.3,1.03 
-74.3,1.03 
-74.2,1.03 
-74.2,1.03 
-74.2,1.03 
-74.1,1.03 
-74.1,1.03 
-74.1,1.03 
-74.0,1.03 
-74.0,1.03 
-74.0,1.03 
-73.9,1.03 
-73.9,1.03 
-73.9,1.03 
-73.8,1.03 
-73.8,1.03 
-73.8,1.03 
-73.7,1.06 
-73.7,1.06 
-73.7,1.06 
-73.6,1.07 
-73.6,1.07 
-73.6,1.07 
-73.5,1.07 
-73.5,1.07 
-73.5,1.07 
-73.4,1.07 
-73.4,1.07 
-73.4,1.07 
-73.3,1.07 
-73.3,1.07 
-73.3,1.07 
-73.2,1.07 
-73.2,1.07 
-73.2,1.07 
-73.1,1.07 
-73.1,1.07 
-73.1,1.07 
-73.0,1.07 
-73.0,1.07 
-73.0,1.07 
-72.9,1.07 
-72.9,1.07 
-72.9,1.07 
-72.8,1.07 
-72.8,1.07 
-72.8,1.07 
-72.7,1.07 
-72.7,1.07 
-72.7,1.07 
-72.6,1.07 
-72.6,1.07 
-72.6,1.07 
-72.5,1.07 
-72.5,1.07 
-72.5,1.07 
-72.4,1.07 
-72.4,1.07 
-72.4,1.07 
-72.3,1.07 
-72.3,1.08 
-72.3,1.08 
-72.2,1.08 
-72.2,1.08 
-72.2,1.08 
-72.1,1.08 
-72.1,1.08 
-72.1,1.08 
-72.0,1.08 
-72.0,1.08 
-72.0,1.08 
-72.0,1.08 
-71.9,1.08 
-71.9,1.08 
-71.9,1.08 
-71.8,1.08 
-71.8,1.08 
-71.8,1.10 
-71.7,1.10 
-71.7,1.10 
-71.7,1.10 
-71.6,1.10 
-71.6,1.10 
-71.6,1.10 
-71.5,1.10 
-71.5,1.10 
-71.5,1.10 
-71.4,1.10 
-71.4,1.10 
-71.4,1.10 
-71.3,1.10 
-71.3,1.10 
-71.3,1.10 
-71.2,1.10 
-71.2,1.10 
-71.2,1.10 
-71.1,1.10 
-71.1,1.10 
-71.1,1.10 
-71.0,1.10 
-71.0,1.10 
-71.0,1.10 
-70.9,1.10 
-70.9,1.12 
-70.9,1.12 
-70.8,1.12 
-70.8,1.12 
-70.8,1.12 
-70.7,1.12 
-70.7,1.12 
-70.7,1.12 
-70.6,1.12 
-70.6,1.12 
-70.6,1.12 
-70.5,1.12 
-70.5,1.12 
-70.5,1.12 
-70.4,1.12 
-70.4,1.12 
-70.4,1.12 
-70.3,1.12 
-70.3,1.12 
-70.3,1.12 
-70.2,1.12 
-70.2,1.12 
-70.2,1.12 
-70.1,1.12 
-70.1,1.12 
-70.1,1.12 
-70.0,1.12 
-70.0,1.12 
-70.0,1.12 
-69.9,1.12 
-69.9,1.12 
-69.9,1.12 
-69.8,1.12 
-69.8,1.12 
-69.8,1.12 
-69.7,1.12 
-69.7,1.12 
-69.7,1.12 
-69.7,1.12 
-69.6,1.12 
-69.6,1.12 
-69.6,1.14 
-69.5,1.14 
-69.5,1.14 
-69.5,1.14 
-69.4,1.14 
-69.4,1.14 
-69.4,1.14 
-69.3,1.14 
-69.3,1.14 
-69.3,1.14 
-69.2,1.14 
-69.2,1.14 
-69.2,1.14 
-69.1,1.14 
-69.1,1.14 
-69.1,1.14 
-69.0,1.14 
-69.0,1.14 
-69.0,1.14 
-68.9,1.14 
-68.9,1.14 
-68.9,1.14 
-68.8,1.14 
-68.8,1.14 
-68.8,1.14 
-68.7,1.14 
-68.7,1.14 
-68.7,1.14 
-68.6,1.14 
-68.6,1.14 
-68.6,1.14 
-68.5,1.14 
-68.5,1.14 
-68.5,1.14 
-68.4,1.14 
-68.4,1.14 
-68.4,1.14 
-68.3,1.14 
-68.3,1.15 
-68.3,1.15 
-68.2,1.15 
-68.2,1.15 
-68.2,1.15 
-68.1,1.15 
-68.1,1.15 
-68.1,1.15 
-68.0,1.15 
-68.0,1.15 
-68.0,1.15 
-67.9,1.15 
-67.9,1.15 
-67.9,1.15 
-67.8,1.19 
-67.8,1.19 
-67.8,1.19 
-67.7,1.19 
-67.7,1.19 
-67.7,1.19 
-67.6,1.19 
-67.6,1.19 
-67.6,1.19 
-67.5,1.19 
-67.5,1.19 
-67.5,1.19 
-67.4,1.19 
-67.4,1.19 
-67.4,1.19 
-67.4,1.19 
-67.3,1.19 
-67.3,1.19 
-67.3,1.19 
-67.2,1.19 
-67.2,1.19 
-67.2,1.19 
-67.1,1.19 
-67.1,1.19 
-67.1,1.19 
-67.0,1.19 
-67.0,1.19 
-67.0,1.19 
-66.9,1.19 
-66.9,1.19 
-66.9,1.22 
-66.8,1.22 
-66.8,1.22 
-66.8,1.22 
-66.7,1.22 
-66.7,1.22 
-66.7,1.22 
-66.6,1.22 
-66.6,1.22 
-66.6,1.22 
-66.5,1.22 
-66.5,1.22 
-66.5,1.22 
-66.4,1.22 
-66.4,1.22 
-66.4,1.22 
-66.3,1.22 
-66.3,1.22 
-66.3,1.22 
-66.2,1.27 
-66.2,1.27 
-66.2,1.27 
-66.1,1.27 
-66.1,1.27 
-66.1,1.27 
-66.0,1.27 
-66.0,1.27 
-66.0,1.27 
-65.9,1.27 
-65.9,1.27 
-65.9,1.27 
-65.8,1.27 
-65.8,1.27 
-65.8,1.27 
-65.7,1.27 
-65.7,1.27 
-65.7,1.27 
-65.6,1.27 
-65.6,1.27 
-65.6,1.27 
-65.5,1.27 
-65.5,1.27 
-65.5,1.27 
-65.4,1.27 
-65.4,1.27 
-65.4,1.27 
-65.3,1.27 
-65.3,1.27 
-65.3,1.27 
-65.2,1.27 
-65.2,1.27 
-65.2,1.27 
-65.1,1.27 
-65.1,1.27 
-65.1,1.27 
-65.1,1.27 
-65.0,1.27 
-65.0,1.27 
-65.0,1.27 
-64.9,1.27 
-64.9,1.27 
-64.9,1.27 
-64.8,1.27 
-64.8,1.27 
-64.8,1.27 
-64.7,1.27 
-64.7,1.27 
-64.7,1.29 
-64.6,1.33 
-64.6,1.33 
-64.6,1.33 
-64.5,1.33 
-64.5,1.33 
-64.5,1.33 
-64.4,1.33 
-64.4,1.33 
-64.4,1.33 
-64.3,1.33 
-64.3,1.33 
-64.3,1.33 
-64.2,1.33 
-64.2,1.33 
-64.2,1.33 
-64.1,1.33 
-64.1,1.33 
-64.1,1.33 
-64.0,1.33 
-64.0,1.33 
-64.0,1.33 
-63.9,1.33 
-63.9,1.33 
-63.9,1.33 
-63.8,1.33 
-63.8,1.33 
-63.8,1.33 
-63.7,1.34 
-63.7,1.34 
-63.7,1.34 
-63.6,1.34 
-63.6,1.34 
-63.6,1.34 
-63.5,1.34 
-63.5,1.34 
-63.5,1.34 
-63.4,1.34 
-63.4,1.34 
-63.4,1.34 
-63.3,1.34 
-63.3,1.34 
-63.3,1.34 
-63.2,1.34 
-63.2,1.36 
-63.2,1.36 
-63.1,1.36 
-63.1,1.36 
-63.1,1.36 
-63.0,1.36 
-63.0,1.36 
-63.0,1.36 
-62.9,1.36 
-62.9,1.36 
-62.9,1.36 
-62.9,1.36 
-62.8,1.36 
-62.8,1.36 
-62.8,1.36 
-62.7,1.36 
-62.7,1.36 
-62.7,1.36 
-62.6,1.36 
-62.6,1.36 
-62.6,1.36 
-62.5,1.36 
-62.5,1.36 
-62.5,1.36 
-62.4,1.36 
-62.4,1.36 
-62.4,1.36 
-62.3,1.36 
-62.3,1.36 
-62.3,1.36 
-62.2,1.36 
-62.2,1.36 
-62.2,1.36 
-62.1,1.36 
-62.1,1.37 
-62.1,1.37 
-62.0,1.37 
-62.0,1.37 
-62.0,1.37 
-61.9,1.37 
-61.9,1.38 
-61.9,1.39 
-61.8,1.39 
-61.8,1.39 
-61.8,1.39 
-61.7,1.39 
-61.7,1.39 
-61.7,1.39 
-61.6,1.39 
-61.6,1.39 
-61.6,1.39 
-61.5,1.39 
-61.5,1.39 
-61.5,1.39 
-61.4,1.39 
-61.4,1.39 
-61.4,1.39 
-61.3,1.39 
-61.3,1.39 
-61.3,1.39 
-61.2,1.39 
-61.2,1.41 
-61.2,1.41 
-61.1,1.41 
-61.1,1.41 
-61.1,1.41 
-61.0,1.41 
-61.0,1.41 
-61.0,1.41 
-60.9,1.41 
-60.9,1.41 
-60.9,1.41 
-60.8,1.41 
-60.8,1.41 
-60.8,1.41 
-60.7,1.41 
-60.7,1.41 
-60.7,1.41 
-60.6,1.41 
-60.6,1.41 
-60.6,1.41 
-60.6,1.41 
-60.5,1.41 
-60.5,1.41 
-60.5,1.41 
-60.4,1.41 
-60.4,1.41 
-60.4,1.41 
-60.3,1.41 
-60.3,1.41 
-60.3,1.43 
-60.2,1.43 
-60.2,1.43 
-60.2,1.43 
-60.1,1.43 
-60.1,1.43 
-60.1,1.43 
-60.0,1.45 
-60.0,1.45 
-60.0,1.45 
-59.9,1.45 
-59.9,1.45 
-59.9,1.45 
-59.8,1.45 
-59.8,1.45 
-59.8,1.45 
-59.7,1.45 
-59.7,1.45 
-59.7,1.46 
-59.6,1.46 
-59.6,1.46 
-59.6,1.46 
-59.5,1.46 
-59.5,1.46 
-59.5,1.46 
-59.4,1.46 
-59.4,1.48 
-59.4,1.48 
-59.3,1.48 
-59.3,1.48 
-59.3,1.48 
-59.2,1.48 
-59.2,1.48 
-59.2,1.48 
-59.1,1.48 
-59.1,1.48 
-59.1,1.48 
-59.0,1.48 
-59.0,1.48 
-59.0,1.48 
-58.9,1.48 
-58.9,1.48 
-58.9,1.48 
-58.8,1.48 
-58.8,1.48 
-58.8,1.48 
-58.7,1.48 
-58.7,1.48 
-58.7,1.48 
-58.6,1.48 
-58.6,1.48 
-58.6,1.58 
-58.5,1.58 
-58.5,1.58 
-58.5,1.58 
-58.4,1.59 
-58.4,1.59 
-58.4,1.59 
-58.3,1.59 
-58.3,1.59 
-58.3,1.59 
-58.3,1.59 
-58.2,1.59 
-58.2,1.59 
-58.2,1.59 
-58.1,1.59 
-58.1,1.59 
-58.1,1.59 
-58.0,1.59 
-58.0,1.59 
-58.0,1.59 
-57.9,1.59 
-57.9,1.59 
-57.9,1.59 
-57.8,1.59 
-57.8,1.59 
-57.8,1.59 
-57.7,1.59 
-57.7,1.59 
-57.7,1.59 
-57.6,1.59 
-57.6,1.59 
-57.6,1.59 
-57.5,1.60 
-57.5,1.60 
-57.5,1.60 
-57.4,1.60 
-57.4,1.60 
-57.4,1.60 
-57.3,1.60 
-57.3,1.60 
-57.3,1.60 
-57.2,1.60 
-57.2,1.68 
-57.2,1.68 
-57.1,1.68 
-57.1,1.68 
-57.1,1.68 
-57.0,1.68 
-57.0,1.68 
-57.0,1.68 
-56.9,1.68 
-56.9,1.68 
-56.9,1.68 
-56.8,1.68 
-56.8,1.68 
-56.8,1.69 
-56.7,1.69 
-56.7,1.69 
-56.7,1.70 
-56.6,1.70 
-56.6,1.70 
-56.6,1.70 
-56.5,1.70 
-56.5,1.70 
-56.5,1.84 
-56.4,1.84 
-56.4,1.84 
-56.4,1.84 
-56.3,1.87 
-56.3,1.87 
-56.3,1.87 
-56.2,1.87 
-56.2,1.87 
-56.2,1.87 
-56.1,1.87 
-56.1,1.87 
-56.1,1.87 
-56.0,1.87 
-56.0,1.87 
-56.0,1.87 
-56.0,1.87 
-55.9,1.87 
-55.9,1.87 
-55.9,1.87 
-55.8,1.87 
-55.8,1.87 
-55.8,1.87 
-55.7,1.87 
-55.7,1.87 
-55.7,1.87 
-55.6,1.87 
-55.6,1.87 
-55.6,1.87 
-55.5,1.87 
-55.5,1.87 
-55.5,1.87 
-55.4,1.87 
-55.4,1.87 
-55.4,1.87 
-55.3,1.87 
-55.3,1.87 
-55.3,1.87 
-55.2,1.87 
-55.2,1.87 
-55.2,1.87 
-55.1,1.87 
-55.1,1.87 
-55.1,1.87 
-55.0,1.87 
-55.0,1.89 
-55.0,1.89 
-54.9,1.89 
-54.9,1.89 
-54.9,1.89 
-54.8,1.89 
-54.8,1.89 
-54.8,1.89 
-54.7,1.90 
-54.7,1.90 
-54.7,1.90 
-54.6,1.90 
-54.6,1.90 
-54.6,1.90 
-54.5,1.90 
-54.5,1.90 
-54.5,1.90 
-54.4,1.90 
-54.4,1.90 
-54.4,1.92 
-54.3,1.92 
-54.3,1.92 
-54.3,1.92 
-54.2,1.92 
-54.2,1.92 
-54.2,1.92 
-54.1,1.92 
-54.1,1.92 
-54.1,1.92 
-54.0,1.92 
-54.0,1.92 
-54.0,1.92 
-53.9,1.92 
-53.9,1.92 
-53.9,1.92 
-53.8,1.92 
-53.8,1.92 
-53.8,1.92 
-53.7,1.92 
-53.7,1.92 
-53.7,1.92 
-53.7,1.92 
-53.6,1.93 
-53.6,1.93 
-53.6,1.93 
-53.5,2.61 
-53.5,2.61 
-53.5,2.61 
-53.4,2.61 
-53.4,2.61 
-53.4,2.61 
-53.3,2.61 
-53.3,2.61 
-53.3,2.61 
-53.2,2.69 
-53.2,2.69 
-53.2,2.69 
-53.1,2.69 
-53.1,2.69 
-53.1,2.69 
-53.0,2.69 
-53.0,2.69 
-53.0,2.69 
-52.9,2.69 
-52.9,2.69 
-52.9,2.69 
-52.8,2.69 
-52.8,2.69 
-52.8,2.69 
-52.7,2.69 
-52.7,2.69 
-52.7,2.69 
-52.6,2.69 
-52.6,2.69 
-52.6,2.69 
-52.5,2.69 
-52.5,2.69 
-52.5,2.69 
-52.4,2.69 
-52.4,2.69 
-52.4,2.69 
-52.3,2.69 
-52.3,2.69 
-52.3,2.69 
-52.2,2.69 
-52.2,2.69 
-52.2,2.69 
-52.1,2.69 
-52.1,2.69 
-52.1,2.69 
-52.0,2.69 
-52.0,2.69 
-52.0,2.69 
-51.9,2.69 
-51.9,2.69 
-51.9,2.69 
-51.8,2.69 
-51.8,2.69 
-51.8,2.69 
-51.7,2.69 
-51.7,2.69 
-51.7,2.69 
-51.6,2.69 
-51.6,2.69 
-51.6,2.69 
-51.5,2.69 
-51.5,2.69 
-51.5,2.69 
-51.4,2.69 
-51.4,2.69 
-51.4,2.69 
-51.4,2.69 
-51.3,2.69 
-51.3,2.69 
-51.3,2.69 
-51.2,2.69 
-51.2,2.69 
-51.2,2.69 
-51.1,2.70 
-51.1,2.70 
-51.1,2.70 
-51.0,2.70 
-51.0,2.70 
-51.0,2.70 
-50.9,2.70 
-50.9,2.70 
-50.9,2.70 
-50.8,2.70 
-50.8,2.70 
-50.8,2.70 
-50.7,2.70 
-50.7,2.70 
-50.7,2.70 
-50.6,2.70 
-50.6,2.70 
-50.6,2.70 
-50.5,2.70 
-50.5,2.70 
-50.5,2.70 
-50.4,2.70 
-50.4,2.70 
-50.4,2.70 
-50.3,2.70 
-50.3,2.70 
-50.3,2.70 
-50.2,2.70 
-50.2,3.09 
-50.2,3.09 
-50.1,3.09 
-50.1,3.09 
-50.1,3.09 
-50.0,3.09 
-50.0,3.09 
-50.0,3.09 
-49.9,3.09 
-49.9,3.09 
-49.9,3.09 
-49.8,3.09 
-49.8,3.09 
-49.8,3.09 
-49.7,3.09 
-49.7,3.09 
-49.7,3.09 
-49.6,3.09 
-49.6,3.09 
-49.6,3.09 
-49.5,3.09 
-49.5,3.09 
-49.5,3.09 
-49.4,3.09 
-49.4,3.09 
-49.4,3.09 
-49.3,3.12 
-49.3,3.12 
-49.3,3.12 
-49.2,3.12 
-49.2,3.12 
-49.2,3.12 
-49.1,3.12 
-49.1,3.12 
-49.1,3.12 
-49.1,3.12 
-49.0,3.12 
-49.0,3.12 
-49.0,3.12 
-48.9,3.12 
-48.9,3.12 
-48.9,3.12 
-48.8,3.19 
-48.8,3.19 
-48.8,3.19 
-48.7,3.19 
-48.7,3.19 
-48.7,3.19 
-48.6,3.19 
-48.6,3.21 
-48.6,3.21 
-48.5,3.21 
-48.5,3.21 
-48.5,3.21 
-48.4,3.21 
-48.4,3.31 
-48.4,3.31 
-48.3,3.31 
-48.3,3.31 
-48.3,3.31 
-48.2,3.31 
-48.2,3.31 
-48.2,3.31 
-48.1,3.31 
-48.1,3.31 
-48.1,3.31 
-48.0,3.31 
-48.0,3.31 
-48.0,3.31 
-47.9,3.31 
-47.9,3.31 
-47.9,3.31 
-47.8,3.31 
-47.8,3.31 
-47.8,3.31 
-47.7,3.31 
-47.7,3.31 
-47.7,3.31 
-47.6,3.34 
-47.6,3.34 
-47.6,3.34 
-47.5,3.34 
-47.5,3.34 
-47.5,3.34 
-47.4,3.34 
-47.4,3.34 
-47.4,3.34 
-47.3,3.34 
-47.3,3.34 
-47.3,3.34 
-47.2,3.34 
-47.2,3.34 
-47.2,3.34 
-47.1,3.34 
-47.1,3.34 
-47.1,3.34 
-47.0,3.34 
-47.0,3.34 
-47.0,3.34 
-46.9,3.34 
-46.9,3.34 
-46.9,3.34 
-46.9,3.34 
-46.8,3.34 
-46.8,3.34 
-46.8,3.34 
-46.7,3.34 
-46.7,3.34 
-46.7,3.34 
-46.6,3.34 
-46.6,3.34 
-46.6,3.34 
-46.5,3.34 
-46.5,3.34 
-46.5,3.34 
-46.4,3.34 
-46.4,3.34 
-46.4,3.34 
-46.3,3.34 
-46.3,3.34 
-46.3,3.34 
-46.2,3.34 
-46.2,3.34 
-46.2,3.34 
-46.1,3.34 
-46.1,3.34 
-46.1,3.34 
-46.0,3.34 
-46.0,3.34 
-46.0,3.34 
-45.9,3.34 
-45.9,3.34 
-45.9,3.34 
-45.8,3.34 
-45.8,3.34 
-45.8,3.40 
-45.7,3.40 
-45.7,3.40 
-45.7,3.40 
-45.6,3.40 
-45.6,3.40 
-45.6,3.40 
-45.5,3.41 
-45.5,3.41 
-45.5,3.41 
-45.4,3.41 
-45.4,3.41 
-45.4,3.41 
-45.3,3.41 
-45.3,3.41 
-45.3,3.41 
-45.2,3.41 
-45.2,3.41 
-45.2,3.41 
-45.1,3.41 
-45.1,3.41 
-45.1,3.41 
-45.0,3.41 
-45.0,3.41 
-45.0,3.41 
-44.9,3.41 
-44.9,3.41 
-44.9,3.41 
-44.8,3.41 
-44.8,3.41 
-44.8,3.41 
-44.7,3.41 
-44.7,3.41 
-44.7,3.41 
-44.6,3.92 
-44.6,3.96 
-44.6,3.96 
-44.6,3.98 
-44.5,3.98 
-44.5,4.07 
-44.5,4.07 
-44.4,4.18 
-44.4,4.18 
-44.4,4.18 
-44.3,4.18 
-44.3,4.18 
-44.3,4.18 
-44.2,4.18 
-44.2,4.17 
-44.2,4.17 
-44.1,4.17 
-44.1,4.17 
-44.1,4.17 
-44.0,4.17 
-44.0,4.17 
-44.0,4.17 
-43.9,4.17 
-43.9,4.17 
-43.9,4.17 
-43.8,4.17 
-43.8,4.17 
-43.8,4.17 
-43.7,4.17 
-43.7,4.17 
-43.7,4.17 
-43.6,4.17 
-43.6,4.15 
-43.6,4.15 
-43.5,4.15 
-43.5,4.15 
-43.5,4.15 
-43.4,4.15 
-43.4,4.15 
-43.4,4.15 
-43.3,4.15 
-43.3,4.18 
-43.3,4.18 
-43.2,4.18 
-43.2,4.18 
-43.2,4.18 
-43.1,4.18 
-43.1,4.18 
-43.1,4.18 
-43.0,4.18 
-43.0,4.18 
-43.0,4.18 
-42.9,4.18 
-42.9,4.18 
-42.9,4.18 
-42.8,4.18 
-42.8,4.18 
-42.8,4.18 
-42.7,4.18 
-42.7,4.18 
-42.7,4.18 
-42.6,4.18 
-42.6,4.18 
-42.6,4.18 
-42.5,4.18 
-42.5,4.19 
-42.5,4.19 
-42.4,4.19 
-42.4,4.19 
-42.4,4.19 
-42.3,4.19 
-42.3,4.19 
-42.3,4.19 
-42.3,4.19 
-42.2,4.19 
-42.2,4.19 
-42.2,4.24 
-42.1,4.24 
-42.1,4.24 
-42.1,4.24 
-42.0,4.24 
-42.0,4.24 
-42.0,4.24 
-41.9,4.24 
-41.9,4.24 
-41.9,4.24 
-41.8,4.24 
-41.8,4.24 
-41.8,4.24 
-41.7,4.25 
-41.7,4.25 
-41.7,4.25 
-41.6,4.25 
-41.6,4.25 
-41.6,4.25 
-41.5,4.26 
-41.5,4.26 
-41.5,4.26 
-41.4,4.32 
-41.4,4.32 
-41.4,4.32 
-41.3,4.32 
-41.3,4.32 
-41.3,4.32 
-41.2,4.32 
-41.2,4.32 
-41.2,4.32 
-41.1,4.32 
-41.1,4.32 
-41.1,4.32 
-41.0,4.32 
-41.0,4.36 
-41.0,4.36 
-40.9,4.36 
-40.9,4.36 
-40.9,4.36 
-40.8,4.36 
-40.8,4.36 
-40.8,4.38 
-40.7,4.52 
-40.7,4.52 
-40.7,4.52 
-40.6,4.52 
-40.6,4.48 
-40.6,4.48 
-40.5,4.48 
-40.5,4.50 
-40.5,4.50 
-40.4,4.50 
-40.4,4.50 
-40.4,4.50 
-40.3,4.50 
-40.3,4.77 
-40.3,4.77 
-40.2,4.77 
-40.2,4.77 
-40.2,4.77 
-40.1,4.77 
-40.1,4.77 
-40.1,4.77 
-40.0,4.77 
-40.0,4.77 
-40.0,4.77 
-40.0,4.77 
-39.9,4.77 
-39.9,4.77 
-39.9,4.77 
-39.8,4.77 
-39.8,4.77 
-39.8,4.80 
-39.7,4.80 
-39.7,4.80 
-39.7,4.80 
-39.6,4.81 
-39.6,4.81 
-39.6,4.81 
-39.5,4.81 
-39.5,4.81 
-39.5,4.81 
-39.4,4.81 
-39.4,4.81 
-39.4,4.81 
-39.3,4.81 
-39.3,4.81 
-39.3,4.81 
-39.2,4.81 
-39.2,4.81 
-39.2,4.81 
-39.1,4.83 
-39.1,4.83 
-39.1,4.83 
-39.0,4.83 
-39.0,4.83 
-39.0,4.83 
-38.9,4.83 
-38.9,4.83 
-38.9,4.83 
-38.8,4.83 
-38.8,4.83 
-38.8,4.83 
-38.7,4.83 
-38.7,4.83 
-38.7,4.83 
-38.6,4.83 
-38.6,4.83 
-38.6,5.65 
-38.5,5.65 
-38.5,5.65 
-38.5,5.65 
-38.4,5.65 
-38.4,5.65 
-38.4,5.65 
-38.3,5.65 
-38.3,5.65 
-38.3,5.65 
-38.2,5.65 
-38.2,5.65 
-38.2,5.75 
-38.1,5.75 
-38.1,5.75 
-38.1,5.75 
