months,value
-84.0,1.00 
-84.0,1.00 
-83.9,1.00 
-83.9,1.00 
-83.9,1.00 
-83.8,1.00 
-83.8,1.00 
-83.8,1.00 
-83.7,1.00 
-83.7,1.00 
-83.7,1.00 
-83.6,1.00 
-83.6,1.00 
-83.6,1.00 
-83.5,1.00 
-83.5,1.00 
-83.5,1.00 
-83.4,1.00 
-83.4,1.00 
-83.4,1.00 
-83.4,1.00 
-83.3,1.00 
-83.3,1.00 
-83.3,1.00 
-83.2,1.00 
-83.2,1.00 
-83.2,1.00 
-83.1,1.00 
-83.1,1.00 
-83.1,1.00 
-83.0,1.00 
-83.0,1.00 
-83.0,1.03 
-82.9,1.03 
-82.9,1.03 
-82.9,1.03 
-82.8,1.03 
-82.8,1.03 
-82.8,1.03 
-82.7,1.03 
-82.7,1.03 
-82.7,1.03 
-82.6,1.03 
-82.6,1.03 
-82.6,1.03 
-82.5,1.03 
-82.5,1.03 
-82.5,1.03 
-82.4,1.03 
-82.4,1.03 
-82.4,1.03 
-82.3,1.03 
-82.3,1.03 
-82.3,1.03 
-82.2,1.03 
-82.2,1.03 
-82.2,1.03 
-82.1,1.03 
-82.1,1.03 
-82.1,1.03 
-82.0,1.03 
-82.0,1.03 
-82.0,1.03 
-81.9,1.03 
-81.9,1.03 
-81.9,1.03 
-81.8,1.03 
-81.8,1.03 
-81.8,1.03 
-81.7,1.03 
-81.7,1.03 
-81.7,1.04 
-81.6,1.04 
-81.6,1.04 
-81.6,1.04 
-81.5,1.04 
-81.5,1.04 
-81.5,1.04 
-81.4,1.04 
-81.4,1.04 
-81.4,1.04 
-81.3,1.04 
-81.3,1.04 
-81.3,1.04 
-81.2,1.04 
-81.2,1.04 
-81.2,1.04 
-81.1,1.04 
-81.1,1.04 
-81.1,1.04 
-81.1,1.04 
-81.0,1.04 
-81.0,1.04 
-81.0,1.04 
-80.9,1.04 
-80.9,1.04 
-80.9,1.04 
-80.8,1.04 
-80.8,1.04 
-80.8,1.04 
-80.7,1.04 
-80.7,1.04 
-80.7,1.04 
-80.6,1.04 
-80.6,1.04 
-80.6,1.04 
-80.5,1.04 
-80.5,1.04 
-80.5,1.04 
-80.4,1.04 
-80.4,1.04 
-80.4,1.04 
-80.3,1.04 
-80.3,1.04 
-80.3,1.04 
-80.2,1.04 
-80.2,1.04 
-80.2,1.04 
-80.1,1.04 
-80.1,1.04 
-80.1,1.04 
-80.0,1.04 
-80.0,1.04 
-80.0,1.04 
-79.9,1.04 
-79.9,1.04 
-79.9,1.04 
-79.8,1.04 
-79.8,1.04 
-79.8,1.04 
-79.7,1.04 
-79.7,1.04 
-79.7,1.04 
-79.6,1.04 
-79.6,1.04 
-79.6,1.04 
-79.5,1.04 
-79.5,1.04 
-79.5,1.04 
-79.4,1.04 
-79.4,1.04 
-79.4,1.04 
-79.3,1.04 
-79.3,1.04 
-79.3,1.04 
-79.2,1.04 
-79.2,1.04 
-79.2,1.04 
-79.1,1.04 
-79.1,1.04 
-79.1,1.04 
-79.0,1.04 
-79.0,1.04 
-79.0,1.04 
-78.9,1.04 
