year,value,num
1995,9687,208
1996,10585,253
1997,6250,157
1998,7498,112
1999,40810,376
2000,44240,256
2001,6012,17
2002,2477,17
2003,2479,20
2004,12035,57
2005,5949,41
2006,5689,44
2007,11527,66
2008,1141,8
2009,3971,15
2010,7252,47
2011,10314,42
2012,20704,37
2013,9118,48
2014,40845,62
2015,9645,30
2016,706,6
